song,artist,uri,features_danceability,features_energy,features_key,features_loudness,features_mode,features_speechiness,features_acousticness,features_instrumentalness,features_liveness,features_valence,features_tempo,features_type,features_id,features_uri,features_track_href,features_analysis_url,features_duration_ms,features_time_signature
Control,Vory,spotify:track:4fmnk3YjVS0cErusvoVapt,0.729,0.566,8,-5.066,1,0.111,0.137,0,0.128,0.264,141.045,audio_features,4fmnk3YjVS0cErusvoVapt,spotify:track:4fmnk3YjVS0cErusvoVapt,https://api.spotify.com/v1/tracks/4fmnk3YjVS0cErusvoVapt,https://api.spotify.com/v1/audio-analysis/4fmnk3YjVS0cErusvoVapt,177903,4
Save Me Now,Vory,spotify:track:7mWO4OfLGrElqWC4e0Ym5G,0.565,0.716,4,-4.76,1,0.0786,0.0646,0.000199,0.101,0.205,74.167,audio_features,7mWO4OfLGrElqWC4e0Ym5G,spotify:track:7mWO4OfLGrElqWC4e0Ym5G,https://api.spotify.com/v1/tracks/7mWO4OfLGrElqWC4e0Ym5G,https://api.spotify.com/v1/audio-analysis/7mWO4OfLGrElqWC4e0Ym5G,160370,4
Stay,Vory,spotify:track:0hAVddBlGlSz1iYbsFFIab,0.455,0.64,9,-4.701,1,0.188,0.019,1.65e-06,0.0367,0.679,74.945,audio_features,0hAVddBlGlSz1iYbsFFIab,spotify:track:0hAVddBlGlSz1iYbsFFIab,https://api.spotify.com/v1/tracks/0hAVddBlGlSz1iYbsFFIab,https://api.spotify.com/v1/audio-analysis/0hAVddBlGlSz1iYbsFFIab,160480,4
Stop Snitchin,YG,spotify:track:3hhs1XHsWvbH0mP9D1BT2Z,0.924,0.714,7,-5.502,1,0.282,0.00479,4.56e-06,0.172,0.601,90.468,audio_features,3hhs1XHsWvbH0mP9D1BT2Z,spotify:track:3hhs1XHsWvbH0mP9D1BT2Z,https://api.spotify.com/v1/tracks/3hhs1XHsWvbH0mP9D1BT2Z,https://api.spotify.com/v1/audio-analysis/3hhs1XHsWvbH0mP9D1BT2Z,149893,4
Me Gusta,DTF,spotify:track:3ezXlfmUHipr8A2pH3uNcQ,0.845,0.697,6,-5.779,0,0.174,0.438,0.00362,0.114,0.303,90.028,audio_features,3ezXlfmUHipr8A2pH3uNcQ,spotify:track:3ezXlfmUHipr8A2pH3uNcQ,https://api.spotify.com/v1/tracks/3ezXlfmUHipr8A2pH3uNcQ,https://api.spotify.com/v1/audio-analysis/3ezXlfmUHipr8A2pH3uNcQ,174667,4
La C,Koba LaD,spotify:track:4A6V8yOXo7oz6oYhdfHrLl,0.767,0.719,7,-6.221,0,0.36,0.302,3.64e-05,0.19,0.638,172.04,audio_features,4A6V8yOXo7oz6oYhdfHrLl,spotify:track:4A6V8yOXo7oz6oYhdfHrLl,https://api.spotify.com/v1/tracks/4A6V8yOXo7oz6oYhdfHrLl,https://api.spotify.com/v1/audio-analysis/4A6V8yOXo7oz6oYhdfHrLl,183039,4
Train de vie,Koba LaD,spotify:track:3Tm8FfsoIgqk1gXHrOION9,0.742,0.641,0,-5.585,0,0.124,0.216,0,0.137,0.418,146.145,audio_features,3Tm8FfsoIgqk1gXHrOION9,spotify:track:3Tm8FfsoIgqk1gXHrOION9,https://api.spotify.com/v1/tracks/3Tm8FfsoIgqk1gXHrOION9,https://api.spotify.com/v1/audio-analysis/3Tm8FfsoIgqk1gXHrOION9,214532,4
Ténébreux #1,Koba LaD,spotify:track:13AUrZzDjQujeXMh8kTVIU,0.933,0.588,1,-6.477,1,0.383,0.0563,0,0.242,0.432,130.062,audio_features,13AUrZzDjQujeXMh8kTVIU,spotify:track:13AUrZzDjQujeXMh8kTVIU,https://api.spotify.com/v1/tracks/13AUrZzDjQujeXMh8kTVIU,https://api.spotify.com/v1/audio-analysis/13AUrZzDjQujeXMh8kTVIU,144887,4
Party Up,DMX,spotify:track:0LWkaEyQRkF0XAms8Bg1fC,0.51,0.931,11,-3.302,1,0.347,0.0738,0,0.5,0.53,201.936,audio_features,0LWkaEyQRkF0XAms8Bg1fC,spotify:track:0LWkaEyQRkF0XAms8Bg1fC,https://api.spotify.com/v1/tracks/0LWkaEyQRkF0XAms8Bg1fC,https://api.spotify.com/v1/audio-analysis/0LWkaEyQRkF0XAms8Bg1fC,268867,4
Hypnotize - 2014 Remaster,The Notorious B.I.G.,spotify:track:7KwZNVEaqikRSBSpyhXK2j,0.901,0.697,9,-3.439,1,0.28,0.145,0,0.287,0.67,93.941,audio_features,7KwZNVEaqikRSBSpyhXK2j,spotify:track:7KwZNVEaqikRSBSpyhXK2j,https://api.spotify.com/v1/tracks/7KwZNVEaqikRSBSpyhXK2j,https://api.spotify.com/v1/audio-analysis/7KwZNVEaqikRSBSpyhXK2j,229827,4
